Ref,Qty,Value,Footprint,Datasheet,manf,part-num,
C201 C202 ,2,22n/200V,Capacitors_SMD:C_0805,https://www.digikey.ch/product-detail/de/avx-corporation/08051C223K4T2A/478-9378-1-ND/4901452,AVX Corporation,08052C223KAT2A,
C203 C306 ,2,1n/2kV,Capacitors_ThroughHole:C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4,https://www.digikey.ch/product-detail/de/wima/MKS4U011003C00KSSD/1928-1762-ND/9370670,WIMA,MKS4U011003C00KSSD,
C204 C205 ,2,33pF 50V,Capacitors_SMD:C_0603,https://www.digikey.ch/product-detail/de/samsung-electro-mechanics/CL10C330FB8NNNC/1276-2262-1-ND/3890348,Samsung Electro-Mechanics,CL10C330FB8NNNC,
C206 C207 C210 C211 C212 C213 C214 C215 C216 C217 C218 C219 C220 C221 C222 C230 C342 C503 C504 C603 C604 C703 C704 ,23,0.1µF,Capacitors_SMD:C_0603,~,Samsung Electro-Mechanics,CL10B104KO8NNNC,
C300 ,1,0.1µF  100V,Capacitors_SMD:C_0805,https://www.digikey.ch/product-detail/de/tdk-corporation/CGA4J2X7R2A104K125AA/445-5827-1-ND/2443867,TDK Corporation,CGA4J2X7R2A104K125AA,
C301 ,1,10µF 63V,Capacitors_SMD:CP_Elec_6.3x5.8,https://www.digikey.ch/product-detail/de/nichicon/GYA1J100MCQ1GS/493-16371-1-ND/7427999,Nichicon,GYA1J100MCQ1GS,
C302 ,1,1µF,Capacitors_SMD:C_0805,https://www.digikey.ch/product-detail/de/tdk-corporation/CGA4J3X7S2A105M125AE/445-7961-1-ND/2782529,TDK Corporation,CGA4J3X7S2A105M125AE,
C303 ,1,330µF,Capacitors_SMD:CP_Elec_6.3x5.8,https://www.digikey.ch/product-detail/de/wurth-electronics-inc/875105245015/732-6415-1-ND/5147966,Wurth Electronics Inc.,875105245015,
C304 C305 C321 C340 C341 C502 C602 C702 C817 ,9,10µF,Capacitors_SMD:C_0805,~,Samsung Electro-Mechannics,CL21B106KOQNNNE,
C307 C308 ,2,1500µF,CP_Elec_10x10,https://www.digikey.ch/product-detail/de/nichicon/UCD0J152MNL1GS/493-6342-1-ND/3438856,Nichicon,UCD0J152MNL1GS,
C320 C802 C804 C806 C808 C810 C811 C812 C813 C814 C815 ,11,47nF,Capacitors_SMD:C_0805,https://www.digikey.ch/product-detail/de/wurth-electronics-inc/885012207070/732-8059-1-ND/5454686,Wurth Electronics Inc.,885012207070,
C334 ,1,6.8nF,Capacitors_SMD:C_0805,https://www.digikey.ch/product-detail/de/wurth-electronics-inc/885012207121/732-12095-1-ND/9346115,Wurth Electronics Inc.,885012207121,
C501 C601 C701 ,3,10µF,Capacitors_SMD:C_0805,https://www.digikey.ch/product-detail/de/samsung-electro-mechanics/CL21B106KOQNNNE/1276-2872-1-ND/3890958,Samsung Electro-Mechannics,CL21B106KOQNNNE,
D110 D113 D260 ,3,LED_ARGB,LEDs:LED_Cree-PLCC4_3.2x2.8mm_CCW,https://www.digikey.ch/product-detail/de/cree-inc/CLV1L-FKB-CHMMQEHBB7673673/CLV1L-FKB-CHMMQEHBB7673673CT-ND/7648419,Cree Inc.,CLV1L-FKB-CHMMQEHBB7673673,
D200 ,1,WE-TVS_5V,TO_SOT_Packages_SMD:SOT-23-6,,Wurth Electronics,824015,
D300 D306 ,2,D_Bridge_+-AA,Diodes_SMD:Diode_Bridge_TO-269AA,https://www.digikey.ch/product-detail/de/micro-commercial-co/MB110S-TP/MB110S-TPMSCT-ND/2075340,Micro Commercial Co,MB110S-TP,
D301 ,1,TVS 58V,Diodes_SMD:D_SMA,https://www.digikey.ch/product-detail/de/diodes-incorporated/SMAJ58A-13-F/SMAJ58A-13-FDICT-ND/2242795,Diodes Incorporated,SMAJ58A-13-F,
D304 ,1,D_Schottky,TO_SOT_Packages_SMD:TO-252-3_TabPin2,https://www.digikey.ch/product-detail/de/stmicroelectronics/STPS1045B-TR/497-6572-1-ND/1865318,STMicroelectronics,STPS1045B-TR,
D321 ,1,9.1V,Diodes_SMD:D_SOD-323,https://www.digikey.com/product-detail/en/on-semiconductor/MM3Z9V1ST1G/MM3Z9V1ST1GOSCT-ND/5213279,ON Semiconductor,MM3Z9V1ST1G,
D330 ,1,Fast Recovery,Diodes_SMD:D_SOD-523,https://www.digikey.com/product-detail/en/micro-commercial-co/BAS516-TP/BAS516-TPMSCT-ND/7681649,Micro Commercial Co,BAS516-TP,
D331 ,1,TLV431BCDBZR,TO_SOT_Packages_SMD:SOT-23,http://www.ti.com/lit/ds/symlink/tlv431a.pdf,Texas Instruments,TLV431BCDBZR,
D401 D402 D403 ,3,TVS_45V,Diodes_SMD:D_SMA,https://www.digikey.ch/product-detail/de/vishay-semiconductor-diodes-division/SMAJ45CA-E3-61/SMAJ45CA-E3-61GICT-ND/5639153,Vishay,SMAJ45CA-E3/61,
D801 D802 D803 D804 D805 ,5,24V,Diodes_SMD:D_SOD-323F,https://www.digikey.ch/product-detail/de/nexperia-usa-inc/BZX84J-B24115/1727-2134-1-ND/5221782,Nexperia USA,BZX84J-B24-115,
